STATE CODE,DISTRICT CODE,INDIA/STATE/UT/DISTRICT,TRU,pop_per,pop_male,pop_female
1,18,Kishtwar,Rural,"216,196","112,312","103,884"
1,18,Kishtwar,Urban,"14,841","8,184","6,657"
1,19,Udhampur,Total,"555,357","298,094","257,263"
1,19,Udhampur,Rural,"445,850","232,694","213,156"
1,19,Udhampur,Urban,"109,507","65,400","44,107"
1,20,Reasi,Total,"314,714","166,392","148,322"
1,20,Reasi,Rural,"288,010","151,716","136,294"
1,20,Reasi,Urban,"26,704","14,676","12,028"
1,21,Jammu,Total,"1,526,406","815,727","710,679"
1,21,Jammu,Rural,"768,577","405,740","362,837"
1,21,Jammu,Urban,"757,829","409,987","347,842"
1,22,Samba,Total,"318,611","168,948","149,663"
1,22,Samba,Rural,"264,990","139,144","125,846"
1,22,Samba,Urban,"53,621","29,804","23,817"
2,0,HIMACHAL PRADESH,Total,"6,856,509","3,473,892","3,382,617"
2,0,HIMACHAL PRADESH,Rural,"6,167,805","3,102,262","3,065,543"
2,0,HIMACHAL PRADESH,Urban,"688,704","371,630","317,074"
2,1,Chamba,Total,"518,844","260,848","257,996"
2,1,Chamba,Rural,"482,653","241,424","241,229"
2,1,Chamba,Urban,"36,191","19,424","16,767"
2,2,Kangra,Total,"1,507,223","748,559","758,664"
2,2,Kangra,Rural,"1,420,864","703,276","717,588"
2,2,Kangra,Urban,"86,359","45,283","41,076"
2,3,Lahul & Spiti,Total,"31,528","16,455","15,073"
2,3,Lahul & Spiti,Rural,"31,528","16,455","15,073"
2,3,Lahul & Spiti,Urban,0,0,0
2,4,Kullu,Total,"437,474","224,320","213,154"
2,4,Kullu,Rural,"396,216","202,418","193,798"
2,4,Kullu,Urban,"41,258","21,902","19,356"
2,5,Mandi,Total,"999,518","496,787","502,731"
2,5,Mandi,Rural,"936,894","464,732","472,162"
2,5,Mandi,Urban,"62,624","32,055","30,569"
2,6,Hamirpur,Total,"454,293","216,742","237,551"
2,6,Hamirpur,Rural,"422,880","200,450","222,430"
2,6,Hamirpur,Urban,"31,413","16,292","15,121"
2,7,Una,Total,"521,057","263,541","257,516"
2,7,Una,Rural,"476,140","240,088","236,052"
2,7,Una,Urban,"44,917","23,453","21,464"
2,8,Bilaspur,Total,"382,056","192,827","189,229"
2,8,Bilaspur,Rural,"356,930","179,726","177,204"
2,8,Bilaspur,Urban,"25,126","13,101","12,025"
2,9,Solan,Total,"576,670","306,162","270,508"
2,9,Solan,Rural,"474,592","247,195","227,397"
2,9,Solan,Urban,"102,078","58,967","43,111"
2,10,Sirmaur,Total,"530,164","276,801","253,363"
2,10,Sirmaur,Rural,"472,926","246,599","226,327"
2,10,Sirmaur,Urban,"57,238","30,202","27,036"
2,11,Shimla,Total,"813,384","424,486","388,898"
2,11,Shimla,Rural,"611,884","313,535","298,349"
2,11,Shimla,Urban,"201,500","110,951","90,549"
2,12,Kinnaur,Total,"84,298","46,364","37,934"
2,12,Kinnaur,Rural,"84,298","46,364","37,934"
2,12,Kinnaur,Urban,0,0,0
3,0,PUNJAB,Total,"27,704,236","14,634,819","13,069,417"
3,0,PUNJAB,Rural,"17,316,800","9,086,466","8,230,334"
3,0,PUNJAB,Urban,"10,387,436","5,548,353","4,839,083"
3,1,Gurdaspur,Total,"2,299,026","1,212,995","1,086,031"
3,1,Gurdaspur,Rural,"1,643,882","858,429","785,453"
3,1,Gurdaspur,Urban,"655,144","354,566","300,578"
3,2,Kapurthala,Total,"817,668","427,659","390,009"
3,2,Kapurthala,Rural,"532,296","275,420","256,876"
3,2,Kapurthala,Urban,"285,372","152,239","133,133"
3,3,Jalandhar,Total,"2,181,753","1,140,536","1,041,217"
3,3,Jalandhar,Rural,"1,021,388","523,390","497,998"
3,3,Jalandhar,Urban,"1,160,365","617,146","543,219"
3,4,Hoshiarpur,Total,"1,582,793","806,921","775,872"
3,4,Hoshiarpur,Rural,"1,247,969","632,251","615,718"
3,4,Hoshiarpur,Urban,"334,824","174,670","160,154"
3,5,Shahid Bhagat Singh Nagar,Total,"614,362","314,415","299,947"
3,5,Shahid Bhagat Singh Nagar,Rural,"488,857","249,182","239,675"
3,5,Shahid Bhagat Singh Nagar,Urban,"125,505","65,233","60,272"
3,6,Fatehgarh Sahib,Total,"599,814","320,603","279,211"
3,6,Fatehgarh Sahib,Rural,"414,649","219,831","194,818"
3,6,Fatehgarh Sahib,Urban,"185,165","100,772","84,393"
3,7,Ludhiana,Total,"3,487,882","1,866,203","1,621,679"
3,7,Ludhiana,Rural,"1,425,201","752,685","672,516"
3,7,Ludhiana,Urban,"2,062,681","1,113,518","949,163"
3,8,Moga,Total,"992,289","524,289","468,000"
3,8,Moga,Rural,"768,499","405,793","362,706"
3,8,Moga,Urban,"223,790","118,496","105,294"
3,9,Firozpur,Total,"2,026,831","1,070,812","956,019"
3,9,Firozpur,Rural,"1,474,592","775,601","698,991"
3,9,Firozpur,Urban,"552,239","295,211","257,028"
3,10,Muktsar,Total,"902,702","476,300","426,402"
3,10,Muktsar,Rural,"650,004","342,495","307,509"
3,10,Muktsar,Urban,"252,698","133,805","118,893"
3,11,Faridkot,Total,"618,008","327,121","290,887"
3,11,Faridkot,Rural,"400,494","211,036","189,458"
3,11,Faridkot,Urban,"217,514","116,085","101,429"
3,12,Bathinda,Total,"1,388,859","744,875","643,984"
3,12,Bathinda,Rural,"888,943","475,070","413,873"
3,12,Bathinda,Urban,"499,916","269,805","230,111"
3,13,Mansa,Total,"768,808","408,921","359,887"
3,13,Mansa,Rural,"605,356","322,466","282,890"
3,13,Mansa,Urban,"163,452","86,455","76,997"
3,14,Patiala,Total,"1,892,282","1,002,112","890,170"
3,14,Patiala,Rural,"1,130,279","598,239","532,040"
3,14,Patiala,Urban,"762,003","403,873","358,130"
3,15,Amritsar ,Total,"2,490,891","1,322,088","1,168,803"
3,15,Amritsar ,Rural,"1,154,831","608,303","546,528"
3,15,Amritsar ,Urban,"1,336,060","713,785","622,275"
3,16,Tarn Taran,Total,"1,120,070","590,239","529,831"
3,16,Tarn Taran,Rural,"978,611","515,291","463,320"
3,16,Tarn Taran,Urban,"141,459","74,948","66,511"
3,17,Rupnagar,Total,"683,349","357,265","326,084"
3,17,Rupnagar,Rural,"505,529","263,818","241,711"
3,17,Rupnagar,Urban,"177,820","93,447","84,373"
3,18,Sahibzada Ajit Singh Nagar,Total,"986,147","524,989","461,158"
3,18,Sahibzada Ajit Singh Nagar,Rural,"442,112","236,684","205,428"
3,18,Sahibzada Ajit Singh Nagar,Urban,"544,035","288,305","255,730"
3,19,Sangrur,Total,"1,654,408","878,628","775,780"
3,19,Sangrur,Rural,"1,137,633","604,462","533,171"
3,19,Sangrur,Urban,"516,775","274,166","242,609"
3,20,Barnala,Total,"596,294","317,848","278,446"
3,20,Barnala,Rural,"405,675","216,020","189,655"
3,20,Barnala,Urban,"190,619","101,828","88,791"
4,0,CHANDIGARH,Total,"1,054,686","580,282","474,404"
4,0,CHANDIGARH,Rural,"29,004","17,155","11,849"
4,0,CHANDIGARH,Urban,"1,025,682","563,127","462,555"
4,1,Chandigarh,Total,"1,054,686","580,282","474,404"
4,1,Chandigarh,Rural,"29,004","17,155","11,849"
4,1,Chandigarh,Urban,"1,025,682","563,127","462,555"
5,0,UTTARAKHAND,Total,"10,116,752","5,154,178","4,962,574"
5,0,UTTARAKHAND,Rural,"7,025,583","3,512,456","3,513,127"
5,0,UTTARAKHAND,Urban,"3,091,169","1,641,722","1,449,447"
5,1,Uttarkashi,Total,"329,686","168,335","161,351"
5,1,Uttarkashi,Rural,"305,469","155,159","150,310"
5,1,Uttarkashi,Urban,"24,217","13,176","11,041"
5,2,Chamoli,Total,"391,114","193,572","197,542"
5,2,Chamoli,Rural,"332,026","160,205","171,821"
5,2,Chamoli,Urban,"59,088","33,367","25,721"
5,3,Rudraprayag,Total,"236,857","111,747","125,110"
5,3,Rudraprayag,Rural,"226,939","105,904","121,035"
5,3,Rudraprayag,Urban,"9,918","5,843","4,075"
5,4,Tehri Garhwal,Total,"616,409","296,604","319,805"
5,4,Tehri Garhwal,Rural,"546,354","258,038","288,316"
5,4,Tehri Garhwal,Urban,"70,055","38,566","31,489"
5,5,Dehradun,Total,"1,698,560","893,222","805,338"
5,5,Dehradun,Rural,"749,000","389,228","359,772"
5,5,Dehradun,Urban,"949,560","503,994","445,566"
5,6,Garhwal,Total,"686,527","326,406","360,121"
5,6,Garhwal,Rural,"573,847","267,575","306,272"
5,6,Garhwal,Urban,"112,680","58,831","53,849"
5,7,Pithoragarh,Total,"485,993","240,427","245,566"
5,7,Pithoragarh,Rural,"416,430","204,119","212,311"
5,7,Pithoragarh,Urban,"69,563","36,308","33,255"
5,8,Bageshwar,Total,"259,840","124,121","135,719"
5,8,Bageshwar,Rural,"250,749","119,402","131,347"
5,8,Bageshwar,Urban,"9,091","4,719","4,372"
5,9,Almora,Total,"621,927","290,414","331,513"
5,9,Almora,Rural,"559,595","256,679","302,916"
5,9,Almora,Urban,"62,332","33,735","28,597"
5,10,Champawat,Total,"259,315","130,881","128,434"
5,10,Champawat,Rural,"220,970","110,649","110,321"
5,10,Champawat,Urban,"38,345","20,232","18,113"
5,11,Nainital,Total,"955,128","494,115","461,013"
5,11,Nainital,Rural,"583,237","299,542","283,695"
5,11,Nainital,Urban,"371,891","194,573","177,318"
5,12,Udham Singh Nagar,Total,"1,648,367","858,906","789,461"
5,12,Udham Singh Nagar,Rural,"1,061,841","550,311","511,530"
5,12,Udham Singh Nagar,Urban,"586,526","308,595","277,931"
5,13,Hardwar,Total,"1,927,029","1,025,428","901,601"
5,13,Hardwar,Rural,"1,199,126","635,645","563,481"
5,13,Hardwar,Urban,"727,903","389,783","338,120"
6,0,HARYANA,Total,"25,353,081","13,505,130","11,847,951"
6,0,HARYANA,Rural,"16,531,493","8,791,036","7,740,457"
6,0,HARYANA,Urban,"8,821,588","4,714,094","4,107,494"
6,1,Panchkula,Total,"558,890","298,919","259,971"
6,1,Panchkula,Rural,"252,231","136,008","116,223"
6,1,Panchkula,Urban,"306,659","162,911","143,748"
6,2,Ambala,Total,"1,136,784","604,044","532,740"
6,2,Ambala,Rural,"632,243","334,564","297,679"
6,2,Ambala,Urban,"504,541","269,480","235,061"
6,3,Yamunanagar,Total,"1,214,162","646,801","567,361"
6,3,Yamunanagar,Rural,"741,370","394,010","347,360"
6,3,Yamunanagar,Urban,"472,792","252,791","220,001"
6,4,Kurukshetra,Total,"964,231","510,370","453,861"
6,4,Kurukshetra,Rural,"685,296","360,790","324,506"
6,4,Kurukshetra,Urban,"278,935","149,580","129,355"
6,5,Kaithal,Total,"1,072,861","570,595","502,266"
6,5,Kaithal,Rural,"837,171","445,614","391,557"
6,5,Kaithal,Urban,"235,690","124,981","110,709"
6,6,Karnal,Total,"1,506,323","798,840","707,483"
6,6,Karnal,Rural,"1,050,293","557,305","492,988"
6,6,Karnal,Urban,"456,030","241,535","214,495"
6,7,Panipat,Total,"1,202,811","646,324","556,487"
6,7,Panipat,Rural,"649,866","349,674","300,192"
6,7,Panipat,Urban,"552,945","296,650","256,295"
6,8,Sonipat,Total,"1,480,080","798,948","681,132"
6,8,Sonipat,Rural,"1,028,393","557,103","471,290"
6,8,Sonipat,Urban,"451,687","241,845","209,842"
6,9,Jind,Total,"1,332,042","712,254","619,788"
6,9,Jind,Rural,"1,028,119","550,513","477,606"
6,9,Jind,Urban,"303,923","161,741","142,182"
6,10,Fatehabad,Total,"941,522","494,834","446,688"
6,10,Fatehabad,Rural,"762,182","400,587","361,595"
6,10,Fatehabad,Urban,"179,340","94,247","85,093"
6,11,Sirsa,Total,"1,295,114","683,242","611,872"
6,11,Sirsa,Rural,"974,624","514,092","460,532"
6,11,Sirsa,Urban,"320,490","169,150","151,340"
6,12,Hisar,Total,"1,742,815","931,535","811,280"
6,12,Hisar,Rural,"1,189,789","634,149","555,640"
6,12,Hisar,Urban,"553,026","297,386","255,640"
6,13,Bhiwani,Total,"1,629,109","864,616","764,493"
6,13,Bhiwani,Rural,"1,306,531","692,944","613,587"
6,13,Bhiwani,Urban,"322,578","171,672","150,906"
6,14,Rohtak,Total,"1,058,683","566,708","491,975"
6,14,Rohtak,Rural,"613,864","330,788","283,076"
6,14,Rohtak,Urban,"444,819","235,920","208,899"
6,15,Jhajjar,Total,"956,907","514,303","442,604"
6,15,Jhajjar,Rural,"713,933","383,887","330,046"
6,15,Jhajjar,Urban,"242,974","130,416","112,558"
6,16,Mahendragarh,Total,"921,680","486,553","435,127"
6,16,Mahendragarh,Rural,"788,705","416,217","372,488"
6,16,Mahendragarh,Urban,"132,975","70,336","62,639"
6,17,Rewari,Total,"896,129","472,254","423,875"
6,17,Rewari,Rural,"664,718","348,631","316,087"
6,17,Rewari,Urban,"231,411","123,623","107,788"
6,18,Gurgaon,Total,"1,514,085","817,274","696,811"
6,18,Gurgaon,Rural,"472,085","251,520","220,565"
6,18,Gurgaon,Urban,"1,042,000","565,754","476,246"
6,19,Mewat,Total,"1,089,406","571,480","517,926"
6,19,Mewat,Rural,"965,389","506,297","459,092"
6,19,Mewat,Urban,"124,017","65,183","58,834"
6,20,Faridabad,Total,"1,798,954","961,532","837,422"
6,20,Faridabad,Rural,"369,861","197,827","172,034"
6,20,Faridabad,Urban,"1,429,093","763,705","665,388"
6,21,Palwal,Total,"1,040,493","553,704","486,789"
6,21,Palwal,Rural,"804,830","428,516","376,314"
6,21,Palwal,Urban,"235,663","125,188","110,475"
7,0,NCT OF DELHI,Total,"16,753,235","8,976,410","7,776,825"
7,0,NCT OF DELHI,Rural,"419,319","227,000","192,319"
7,0,NCT OF DELHI,Urban,"16,333,916","8,749,410","7,584,506"
7,1,North West,Total,"3,651,261","1,960,677","1,690,584"
7,1,North West,Rural,"213,746","115,760","97,986"
7,1,North West,Urban,"3,437,515","1,844,917","1,592,598"
7,2,North,Total,"883,418","472,260","411,158"
7,2,North,Rural,"17,748","9,540","8,208"
7,2,North,Urban,"865,670","462,720","402,950"
7,3,North East,Total,"2,240,749","1,188,307","1,052,442"
7,3,North East,Rural,"21,542","11,729","9,813"
7,3,North East,Urban,"2,219,207","1,176,578","1,042,629"
7,4,East,Total,"1,707,725","906,721","801,004"
7,4,East,Rural,"3,530","1,869","1,661"
7,4,East,Urban,"1,704,195","904,852","799,343"
7,5,New Delhi,Total,"133,713","73,846","59,867"
7,5,New Delhi,Rural,0,0,0
7,5,New Delhi,Urban,"133,713","73,846","59,867"
7,6,Central,Total,"578,671","305,926","272,745"
7,6,Central,Rural,0,0,0
7,6,Central,Urban,"578,671","305,926","272,745"
7,7,West,Total,"2,531,583","1,349,685","1,181,898"
7,7,West,Rural,"6,423","3,407","3,016"
7,7,West,Urban,"2,525,160","1,346,278","1,178,882"
7,8,South West,Total,"2,292,363","1,248,700","1,043,663"
7,8,South West,Rural,"144,220","77,676","66,544"
7,8,South West,Urban,"2,148,143","1,171,024","977,119"
7,9,South,Total,"2,733,752","1,470,288","1,263,464"
7,9,South,Rural,"12,110","7,019","5,091"
7,9,South,Urban,"2,721,642","1,463,269","1,258,373"
8,0,RAJASTHAN,Total,"68,621,012","35,620,086","33,000,926"
8,0,RAJASTHAN,Rural,"51,540,236","26,680,882","24,859,354"
8,0,RAJASTHAN,Urban,"17,080,776","8,939,204","8,141,572"
8,1,Ganganagar,Total,"1,969,520","1,043,730","925,790"
8,1,Ganganagar,Rural,"1,433,858","758,529","675,329"
8,1,Ganganagar,Urban,"535,662","285,201","250,461"
8,2,Hanumangarh,Total,"1,779,650","933,660","845,990"
8,2,Hanumangarh,Rural,"1,428,884","749,080","679,804"
8,2,Hanumangarh,Urban,"350,766","184,580","166,186"
8,3,Bikaner,Total,"2,367,745","1,243,916","1,123,829"
8,3,Bikaner,Rural,"1,564,009","822,098","741,911"
8,3,Bikaner,Urban,"803,736","421,818","381,918"
8,4,Churu,Total,"2,041,172","1,053,375","987,797"
8,4,Churu,Rural,"1,464,691","756,279","708,412"
8,4,Churu,Urban,"576,481","297,096","279,385"
8,5,Jhunjhunun,Total,"2,139,658","1,097,390","1,042,268"
8,5,Jhunjhunun,Rural,"1,649,538","843,536","806,002"
8,5,Jhunjhunun,Urban,"490,120","253,854","236,266"
8,6,Alwar,Total,"3,671,999","1,938,929","1,733,070"
8,6,Alwar,Rural,"3,017,711","1,589,143","1,428,568"
8,6,Alwar,Urban,"654,288","349,786","304,502"
8,7,Bharatpur,Total,"2,549,121","1,357,896","1,191,225"
8,7,Bharatpur,Rural,"2,054,400","1,095,085","959,315"
8,7,Bharatpur,Urban,"494,721","262,811","231,910"
8,8,Dhaulpur,Total,"1,207,293","654,344","552,949"
8,8,Dhaulpur,Rural,"959,673","521,401","438,272"
8,8,Dhaulpur,Urban,"247,620","132,943","114,677"
8,9,Karauli,Total,"1,458,459","784,943","673,516"
8,9,Karauli,Rural,"1,239,798","668,812","570,986"
8,9,Karauli,Urban,"218,661","116,131","102,530"
8,10,Sawai Madhopur,Total,"1,338,114","706,558","631,556"
8,10,Sawai Madhopur,Rural,"1,071,780","566,817","504,963"
8,10,Sawai Madhopur,Urban,"266,334","139,741","126,593"
8,11,Dausa,Total,"1,637,226","859,821","777,405"
8,11,Dausa,Rural,"1,434,533","753,670","680,863"
8,11,Dausa,Urban,"202,693","106,151","96,542"
8,12,Jaipur,Total,"6,663,971","3,490,787","3,173,184"
8,12,Jaipur,Rural,"3,164,767","1,648,975","1,515,792"
8,12,Jaipur,Urban,"3,499,204","1,841,812","1,657,392"
8,13,Sikar,Total,"2,677,737","1,377,120","1,300,617"
8,13,Sikar,Rural,"2,044,437","1,049,331","995,106"
8,13,Sikar,Urban,"633,300","327,789","305,511"
8,14,Nagaur,Total,"3,309,234","1,698,760","1,610,474"
8,14,Nagaur,Rural,"2,674,804","1,371,733","1,303,071"
8,14,Nagaur,Urban,"634,430","327,027","307,403"
8,15,Jodhpur,Total,"3,685,681","1,924,326","1,761,355"
8,15,Jodhpur,Rural,"2,421,621","1,260,206","1,161,415"
8,15,Jodhpur,Urban,"1,264,060","664,120","599,940"
8,16,Jaisalmer,Total,"672,008","363,346","308,662"
8,16,Jaisalmer,Rural,"582,798","313,750","269,048"
8,16,Jaisalmer,Urban,"89,210","49,596","39,614"
8,17,Barmer,Total,"2,604,453","1,370,494","1,233,959"
8,17,Barmer,Rural,"2,422,037","1,274,070","1,147,967"
8,17,Barmer,Urban,"182,416","96,424","85,992"
8,18,Jalor,Total,"1,830,151","937,918","892,233"
8,18,Jalor,Rural,"1,678,248","858,833","819,415"
8,18,Jalor,Urban,"151,903","79,085","72,818"
8,19,Sirohi,Total,"1,037,185","535,115","502,070"
8,19,Sirohi,Rural,"828,375","424,973","403,402"
8,19,Sirohi,Urban,"208,810","110,142","98,668"
8,20,Pali,Total,"2,038,533","1,025,895","1,012,638"
8,20,Pali,Rural,"1,578,682","787,974","790,708"
8,20,Pali,Urban,"459,851","237,921","221,930"
8,21,Ajmer,Total,"2,584,913","1,325,911","1,259,002"
8,21,Ajmer,Rural,"1,548,574","790,215","758,359"
8,21,Ajmer,Urban,"1,036,339","535,696","500,643"
8,22,Tonk,Total,"1,421,711","729,390","692,321"
8,22,Tonk,Rural,"1,103,868","569,040","534,828"
8,22,Tonk,Urban,"317,843","160,350","157,493"
8,23,Bundi,Total,"1,113,725","579,385","534,340"
8,23,Bundi,Rural,"891,623","464,347","427,276"
8,23,Bundi,Urban,"222,102","115,038","107,064"
8,24,Bhilwara,Total,"2,410,459","1,224,483","1,185,976"
8,24,Bhilwara,Rural,"1,897,292","957,879","939,413"
8,24,Bhilwara,Urban,"513,167","266,604","246,563"
8,25,Rajsamand,Total,"1,158,283","582,670","575,613"
8,25,Rajsamand,Rural,"973,822","487,758","486,064"
8,25,Rajsamand,Urban,"184,461","94,912","89,549"
8,26,Dungarpur,Total,"1,388,906","698,069","690,837"
8,26,Dungarpur,Rural,"1,300,129","652,478","647,651"
8,26,Dungarpur,Urban,"88,777","45,591","43,186"
8,27,Banswara,Total,"1,798,194","908,755","889,439"
8,27,Banswara,Rural,"1,670,368","843,391","826,977"
8,27,Banswara,Urban,"127,826","65,364","62,462"
8,28,Chittaurgarh,Total,"1,544,392","784,054","760,338"
8,28,Chittaurgarh,Rural,"1,259,090","637,086","622,004"
8,28,Chittaurgarh,Urban,"285,302","146,968","138,334"
8,29,Kota,Total,"1,950,491","1,023,153","927,338"
8,29,Kota,Rural,"774,286","401,931","372,355"
8,29,Kota,Urban,"1,176,205","621,222","554,983"
8,30,Baran,Total,"1,223,921","635,495","588,426"
8,30,Baran,Rural,"969,490","503,368","466,122"
8,30,Baran,Urban,"254,431","132,127","122,304"
8,31,Jhalawar,Total,"1,411,327","725,667","685,660"
8,31,Jhalawar,Rural,"1,181,889","606,823","575,066"
8,31,Jhalawar,Urban,"229,438","118,844","110,594"
8,32,Udaipur,Total,"3,067,549","1,566,781","1,500,768"
8,32,Udaipur,Rural,"2,458,658","1,250,880","1,207,778"
8,32,Udaipur,Urban,"608,891","315,901","292,990"
8,33,Pratapgarh,Total,"868,231","437,950","430,281"
8,33,Pratapgarh,Rural,"796,503","401,391","395,112"
8,33,Pratapgarh,Urban,"71,728","36,559","35,169"
9,0,UTTAR PRADESH,Total,"199,581,477","104,596,415","94,985,062"
9,0,UTTAR PRADESH,Rural,"155,111,022","81,044,655","74,066,367"
9,0,UTTAR PRADESH,Urban,"44,470,455","23,551,760","20,918,695"
9,1,Saharanpur,Total,"3,464,228","1,835,740","1,628,488"
9,1,Saharanpur,Rural,"2,400,420","1,271,091","1,129,329"
9,1,Saharanpur,Urban,"1,063,808","564,649","499,159"
9,2,Muzaffarnagar,Total,"4,138,605","2,194,540","1,944,065"
9,2,Muzaffarnagar,Rural,"2,948,529","1,565,711","1,382,818"
9,2,Muzaffarnagar,Urban,"1,190,076","628,829","561,247"
9,3,Bijnor,Total,"3,683,896","1,925,787","1,758,109"
9,3,Bijnor,Rural,"2,758,262","1,441,894","1,316,368"
9,3,Bijnor,Urban,"925,634","483,893","441,741"
9,4,Moradabad,Total,"4,773,138","2,508,299","2,264,839"
9,4,Moradabad,Rural,"3,197,475","1,682,789","1,514,686"
9,4,Moradabad,Urban,"1,575,663","825,510","750,153"
9,5,Rampur,Total,"2,335,398","1,226,175","1,109,223"
9,5,Rampur,Rural,"1,746,637","918,711","827,926"
9,5,Rampur,Urban,"588,761","307,464","281,297"
9,6,Jyotiba Phule Nagar,Total,"1,838,771","964,319","874,452"
9,6,Jyotiba Phule Nagar,Rural,"1,382,115","725,817","656,298"
9,6,Jyotiba Phule Nagar,Urban,"456,656","238,502","218,154"
9,7,Meerut,Total,"3,447,405","1,829,192","1,618,213"
9,7,Meerut,Rural,"1,684,832","896,456","788,376"
9,7,Meerut,Urban,"1,762,573","932,736","829,837"
9,8,Baghpat,Total,"1,302,156","700,724","601,432"
9,8,Baghpat,Rural,"1,028,021","554,613","473,408"
9,8,Baghpat,Urban,"274,135","146,111","128,024"
9,9,Ghaziabad,Total,"4,661,452","2,481,803","2,179,649"
9,9,Ghaziabad,Rural,"1,516,878","807,690","709,188"
9,9,Ghaziabad,Urban,"3,144,574","1,674,113","1,470,461"
9,10,Gautam Buddha Nagar,Total,"1,674,714","904,505","770,209"
9,10,Gautam Buddha Nagar,Rural,"677,304","360,728","316,576"
9,10,Gautam Buddha Nagar,Urban,"997,410","543,777","453,633"
9,11,Bulandshahr ,Total,"3,498,507","1,848,643","1,649,864"
9,11,Bulandshahr ,Rural,"2,630,716","1,392,425","1,238,291"
9,11,Bulandshahr ,Urban,"867,791","456,218","411,573"
9,12,Aligarh,Total,"3,673,849","1,958,536","1,715,313"
9,12,Aligarh,Rural,"2,457,268","1,312,501","1,144,767"
9,12,Aligarh,Urban,"1,216,581","646,035","570,546"
9,13,Mahamaya Nagar,Total,"1,565,678","837,446","728,232"
9,13,Mahamaya Nagar,Rural,"1,232,081","660,394","571,687"
9,13,Mahamaya Nagar,Urban,"333,597","177,052","156,545"
9,14,Mathura,Total,"2,541,894","1,368,445","1,173,449"
9,14,Mathura,Rural,"1,788,001","963,330","824,671"
9,14,Mathura,Urban,"753,893","405,115","348,778"
9,15,Agra,Total,"4,380,793","2,356,104","2,024,689"
9,15,Agra,Rural,"2,371,296","1,273,883","1,097,413"
9,15,Agra,Urban,"2,009,497","1,082,221","927,276"
9,16,Firozabad,Total,"2,496,761","1,337,141","1,159,620"
9,16,Firozabad,Rural,"1,664,491","894,490","770,001"
9,16,Firozabad,Urban,"832,270","442,651","389,619"
